"subject","cond","t","predictable","rt"
119,2,1,"1",1007
119,2,1,"3",1406
119,2,2,"1",1107
119,2,2,"3",1090
119,2,3,"1",914
119,2,4,"1",1165
119,2,4,"3",1173
119,2,5,"1",997
119,2,5,"3",1342
119,2,6,"1",949
119,2,7,"1",1012
119,2,7,"3",1504
119,2,8,"1",1104
119,2,8,"3",1060
119,2,9,"1",1040
119,2,9,"3",1362
119,2,10,"1",1176
119,2,10,"3",1211
119,2,11,"1",1099
119,2,11,"3",1077
119,2,12,"1",1077
119,2,12,"3",1298
119,2,13,"1",1195
119,2,13,"3",1221
119,2,14,"1",938
119,2,14,"3",1301
119,2,15,"1",957
119,2,15,"3",1049
119,2,16,"1",935
119,2,16,"3",1130
119,2,17,"1",971
119,2,17,"3",1311
119,2,18,"1",860
119,2,18,"3",935
119,2,19,"1",932
119,2,19,"3",709
119,2,20,"1",874
119,2,20,"3",1269
119,2,21,"1",968
119,2,21,"3",1089
119,2,22,"1",903
119,2,22,"3",1025
119,2,23,"1",1020
119,2,23,"3",1133
119,2,24,"1",1104
119,2,24,"3",1016
119,2,25,"1",999
119,2,25,"3",1259
119,2,26,"1",971
119,2,26,"3",1243
119,2,27,"1",951
119,2,27,"3",998
119,2,28,"1",954
119,2,28,"3",1245
119,2,29,"1",902
119,2,29,"3",960
119,2,30,"1",964
119,2,30,"3",756
119,2,31,"1",1192
119,2,31,"3",922
119,2,32,"3",1395
119,2,33,"1",889
119,2,33,"3",1007
119,2,34,"3",926
119,2,35,"1",1081
119,2,35,"3",1028
119,2,36,"1",1031
119,2,36,"3",1193
119,2,37,"1",1429
119,2,37,"3",1140
119,2,38,"1",1020
119,2,39,"1",900
119,2,39,"3",1045
119,2,40,"1",893
119,2,40,"3",1237
119,2,41,"1",933
119,2,41,"3",1576
119,2,42,"1",984
119,2,42,"3",928
119,2,43,"1",1076
119,2,43,"3",1003
119,2,44,"1",1122
119,2,44,"3",820
119,2,45,"1",959
119,2,45,"3",1361
119,2,46,"1",1087
119,2,46,"3",1134
119,2,47,"1",942
119,2,47,"3",1481
119,2,48,"1",982
119,2,48,"3",809
119,2,49,"3",816
119,2,50,"1",1069
119,2,50,"3",1485
119,2,51,"1",1018
119,2,51,"3",1189
119,2,52,"1",968
119,2,52,"3",886
119,2,53,"1",1040
119,2,53,"3",1212
119,2,54,"1",1050
119,2,54,"3",1229
119,2,55,"1",1260
119,2,55,"3",1256
119,2,56,"1",1074
119,2,56,"3",1159
119,2,57,"1",838
119,2,57,"3",816
119,2,58,"1",1108
119,2,58,"3",1319
119,2,59,"1",1245
119,2,59,"3",1358
119,2,60,"1",994
119,2,60,"3",1220
119,2,61,"1",1024
119,2,61,"3",1048
119,2,62,"1",1170
119,2,62,"3",1141
119,2,63,"1",940
119,2,63,"3",1069
119,2,64,"1",1011
119,2,64,"3",1205
119,2,65,"1",1019
119,2,65,"3",1142
119,2,66,"1",928
119,2,66,"3",1131
119,2,67,"1",764
119,2,67,"3",1198
119,2,68,"1",1648
119,2,68,"3",1297
119,2,69,"1",1105
119,2,69,"3",1169
119,2,70,"1",857
119,2,70,"3",1547
119,2,71,"1",1144
119,2,71,"3",1586
119,2,72,"1",1229
119,2,72,"3",1510
147,2,1,"1",986
147,2,1,"3",1356
147,2,2,"1",984
147,2,2,"3",1064
147,2,3,"1",1042
147,2,3,"3",1206
147,2,4,"1",994
147,2,4,"3",1148
147,2,5,"1",921
147,2,5,"3",979
147,2,6,"1",863
147,2,6,"3",1104
147,2,7,"1",849
147,2,7,"3",940
147,2,8,"1",891
147,2,8,"3",924
147,2,9,"1",842
147,2,9,"3",1148
147,2,10,"1",897
147,2,10,"3",1052
147,2,11,"1",885
147,2,11,"3",840
147,2,12,"1",899
147,2,12,"3",1206
147,2,13,"1",1126
147,2,13,"3",938
147,2,14,"1",882
147,2,14,"3",972
147,2,15,"1",909
147,2,15,"3",967
147,2,16,"1",948
147,2,16,"3",887
147,2,17,"1",979
147,2,17,"3",988
147,2,18,"1",872
147,2,18,"3",946
147,2,19,"1",827
147,2,19,"3",1044
147,2,20,"1",889
147,2,20,"3",1036
147,2,21,"1",911
147,2,21,"3",1011
147,2,22,"1",926
147,2,22,"3",1283
147,2,23,"1",1016
147,2,23,"3",955
147,2,24,"1",840
147,2,24,"3",1218
147,2,25,"1",879
147,2,25,"3",1057
147,2,26,"1",798
147,2,26,"3",942
147,2,27,"1",907
147,2,27,"3",941
147,2,28,"1",922
147,2,28,"3",969
147,2,29,"1",902
147,2,29,"3",906
147,2,30,"1",818
147,2,30,"3",963
147,2,31,"1",887
147,2,31,"3",860
147,2,32,"1",935
147,2,32,"3",970
147,2,33,"1",809
147,2,33,"3",1058
147,2,34,"1",907
147,2,34,"3",822
147,2,35,"1",882
147,2,35,"3",851
147,2,36,"1",925
147,2,36,"3",1093
147,2,37,"1",956
147,2,37,"3",934
147,2,38,"1",899
147,2,38,"3",1165
147,2,39,"1",904
147,2,39,"3",900
147,2,40,"1",888
147,2,40,"3",946
147,2,41,"1",825
147,2,41,"3",980
147,2,42,"3",931
147,2,43,"1",964
147,2,43,"3",1095
147,2,44,"1",884
147,2,44,"3",1006
147,2,45,"1",978
147,2,45,"3",920
147,2,46,"1",911
147,2,46,"3",1072
147,2,47,"3",1042
147,2,48,"1",910
147,2,48,"3",897
147,2,49,"3",967
147,2,50,"1",865
147,2,50,"3",940
147,2,51,"1",1062
147,2,51,"3",871
147,2,52,"1",885
147,2,52,"3",832
147,2,53,"1",869
147,2,53,"3",865
147,2,54,"1",835
147,2,54,"3",987
147,2,55,"1",858
147,2,55,"3",982
147,2,56,"1",807
147,2,56,"3",1065
147,2,57,"1",886
147,2,57,"3",888
147,2,58,"1",857
147,2,58,"3",1019
147,2,59,"1",1194
147,2,59,"3",1100
147,2,60,"1",881
147,2,60,"3",876
147,2,61,"1",833
147,2,61,"3",1088
147,2,62,"1",854
147,2,62,"3",1042
147,2,63,"1",888
147,2,63,"3",1265
147,2,64,"1",792
147,2,64,"3",786
147,2,65,"1",777
147,2,65,"3",971
147,2,66,"1",801
147,2,66,"3",866
147,2,67,"1",1013
147,2,67,"3",939
147,2,68,"1",866
147,2,68,"3",950
147,2,69,"1",837
147,2,69,"3",841
147,2,70,"1",860
147,2,70,"3",886
147,2,71,"1",935
147,2,71,"3",890
147,2,72,"1",872
147,2,72,"3",1865
55,1,1,"1",1151
55,1,1,"3",1361
55,1,2,"1",1184
55,1,2,"3",1269
55,1,3,"1",1069
55,1,3,"3",1350
55,1,4,"1",1092
55,1,4,"3",1177
55,1,5,"1",1095
55,1,5,"3",1405
55,1,6,"1",1111
55,1,6,"3",1139
55,1,7,"1",1161
55,1,7,"3",1075
55,1,8,"1",1049
55,1,8,"3",1005
55,1,9,"1",1791
55,1,9,"3",1157
55,1,10,"1",1069
55,1,10,"3",1355
55,1,11,"1",1135
55,1,11,"3",1410
55,1,12,"1",1159
55,1,12,"3",1221
55,1,13,"1",1047
55,1,13,"3",1101
55,1,14,"1",1117
55,1,15,"1",1050
55,1,15,"3",1904
55,1,16,"1",1031
55,1,17,"1",1726
55,1,17,"3",1225
55,1,18,"1",1085
55,1,18,"3",1259
55,1,19,"1",1228
55,1,19,"3",1240
55,1,20,"1",1682
55,1,20,"3",1537
55,1,21,"1",1120
55,1,21,"3",1691
55,1,22,"1",1172
55,1,22,"3",1084
55,1,23,"1",1173
55,1,23,"3",1237
55,1,24,"1",1090
55,1,24,"3",1208
55,1,25,"1",1281
55,1,25,"3",1160
55,1,26,"3",1245
55,1,27,"1",1537
55,1,27,"3",1779
55,1,28,"1",1320
55,1,28,"3",1410
55,1,29,"1",1562
55,1,29,"3",1122
55,1,30,"1",1334
55,1,30,"3",1235
55,1,31,"1",1180
55,1,31,"3",1126
55,1,32,"1",1112
55,1,32,"3",1335
55,1,33,"1",1096
55,1,33,"3",1220
55,1,34,"1",1709
55,1,34,"3",1213
55,1,35,"1",972
55,1,35,"3",1380
55,1,36,"1",995
55,1,36,"3",1368
55,1,37,"1",1093
55,1,37,"3",1385
55,1,38,"1",1096
55,1,38,"3",1166
55,1,39,"1",1080
55,1,39,"3",1148
55,1,40,"1",1010
55,1,40,"3",1050
55,1,41,"1",1014
55,1,41,"3",1574
55,1,42,"1",1156
55,1,42,"3",1142
55,1,43,"1",1669
55,1,43,"3",1469
55,1,44,"1",974
55,1,44,"3",1295
55,1,45,"1",1021
55,1,45,"3",1169
55,1,46,"1",1036
55,1,46,"3",1362
55,1,47,"1",1973
55,1,47,"3",1068
55,1,48,"1",1149
55,1,48,"3",1321
55,1,49,"1",1010
55,1,49,"3",1719
55,1,50,"1",1142
55,1,50,"3",1137
55,1,51,"1",1039
55,1,51,"3",1328
55,1,52,"1",1004
55,1,52,"3",1418
55,1,53,"1",987
55,1,53,"3",1351
55,1,54,"1",1126
55,1,54,"3",1320
55,1,55,"1",1015
55,1,55,"3",1302
55,1,56,"1",1567
55,1,56,"3",1130
55,1,57,"1",1536
55,1,57,"3",1392
55,1,58,"1",1162
55,1,58,"3",1202
55,1,59,"1",1244
55,1,59,"3",1345
55,1,60,"1",1473
55,1,60,"3",1315
55,1,61,"1",1017
55,1,61,"3",1177
55,1,62,"1",1076
55,1,62,"3",1190
55,1,63,"1",1011
55,1,63,"3",959
55,1,64,"1",1340
55,1,64,"3",1470
55,1,65,"1",1236
55,1,65,"3",1548
55,1,66,"1",691
55,1,66,"3",1031
55,1,67,"1",1302
55,1,68,"1",1129
55,1,68,"3",1213
55,1,69,"1",1080
55,1,69,"3",1277
55,1,70,"1",1264
55,1,71,"1",685
55,1,72,"1",1036
55,1,72,"3",1086
229,3,1,"1",843
229,3,1,"3",1115
229,3,2,"1",860
229,3,2,"3",956
229,3,3,"1",930
229,3,3,"3",1042
229,3,4,"1",1254
229,3,4,"3",1210
229,3,5,"1",1129
229,3,5,"3",1071
229,3,6,"1",866
229,3,6,"3",910
229,3,7,"1",846
229,3,7,"3",934
229,3,8,"1",908
229,3,8,"3",811
229,3,9,"1",917
229,3,10,"1",814
229,3,10,"3",914
