"","rt","subject","is.predictable","t"
"1",584.363182038557,1,1,1
"2",580.922570521961,1,1,2
"3",558.941889288825,1,1,3
"4",548.943617080223,1,1,4
"5",541.824726360426,1,1,5
"6",533.694821416927,1,1,6
"7",524.051908232742,1,1,7
"8",517.915545826817,1,1,8
"9",508.653054823975,1,1,9
"10",500.720890985619,1,1,10
"11",494.100750032621,1,1,11
"12",489.05081219366,1,1,12
"13",481.086412577438,1,1,13
"14",474.465002940801,1,1,14
"15",466.08947232811,1,1,15
"16",468.736910888265,1,1,16
"17",460.521747843721,1,1,17
"18",447.807481060252,1,1,18
"19",442.552854671649,1,1,19
"20",434.833656435548,1,1,20
"21",428.482405476659,1,1,21
"22",428.397502385029,1,1,22
"23",419.078918369479,1,1,23
"24",407.879228434915,1,1,24
"25",405.628673037788,1,1,25
"26",402.926753522783,1,1,26
"27",395.507057110967,1,1,27
"28",389.054440169924,1,1,28
"29",382.231250606522,1,1,29
"30",388.031608008549,1,1,30
"31",376.24302612069,1,1,31
"32",368.324356362638,1,1,32
"33",361.405245896148,1,1,33
"34",360.961625482303,1,1,34
"35",353.751222201918,1,1,35
"36",346.403552837924,1,1,36
"37",345.828265224635,1,1,37
"38",346.249193055889,1,1,38
"39",344.197322751989,1,1,39
"40",334.914180519694,1,1,40
"41",344.473472879362,1,1,41
"42",331.857138187787,1,1,42
"43",323.22387403903,1,1,43
"44",326.974521644786,1,1,44
"45",317.034685606101,1,1,45
"46",313.477445300156,1,1,46
"47",321.158159916968,1,1,47
"48",309.237422583101,1,1,48
"49",302.951763291326,1,1,49
"50",307.525911996779,1,1,50
"51",307.374291684656,1,1,51
"52",306.405730705287,1,1,52
"53",301.151659813518,1,1,53
"54",301.697910380628,1,1,54
"55",295.540208106454,1,1,55
"56",296.388292050512,1,1,56
"57",290.079261734649,1,1,57
"58",289.701063953792,1,1,58
"59",281.718970886219,1,1,59
"60",288.024918006055,1,1,60
"61",287.998911813472,1,1,61
"62",282.735198972959,1,1,62
"63",275.67968282523,1,1,63
"64",282.346048629181,1,1,64
"65",277.011987826794,1,1,65
"66",269.003858011784,1,1,66
"67",269.528351497566,1,1,67
"68",275.547441440504,1,1,68
"69",277.974092261154,1,1,69
"70",271.323983438117,1,1,70
"71",265.756256173119,1,1,71
"72",263.007662542641,1,1,72
"73",928.986710530527,2,1,1
"74",872.767461114821,2,1,2
"75",833.464534764281,2,1,3
"76",780.517014482491,2,1,4
"77",721.176379478753,2,1,5
"78",641.41612873351,2,1,6
"79",575.919190757953,2,1,7
"80",498.711516382556,2,1,8
"81",442.699554796384,2,1,9
"82",386.599675984003,2,1,10
"83",352.651738395759,2,1,11
"84",317.707734242042,2,1,12
"85",303.787870196197,2,1,13
"86",293.765973890958,2,1,14
"87",292.532517703931,2,1,15
"88",280.323822828435,2,1,16
"89",278.766626210372,2,1,17
"90",277.222475227574,2,1,18
"91",272.831899175003,2,1,19
"92",277.983644436316,2,1,20
"93",274.028290231709,2,1,21
"94",275.067552189379,2,1,22
"95",275.350519392758,2,1,23
"96",270.681763380065,2,1,24
"97",277.918148276462,2,1,25
"98",265.451561999657,2,1,26
"99",273.727034782692,2,1,27
"100",280.518701923685,2,1,28
"101",273.877425515918,2,1,29
"102",271.416834886438,2,1,30
"103",278.48358161199,2,1,31
"104",276.937795053138,2,1,32
"105",262.314380134667,2,1,33
"106",269.36713228876,2,1,34
"107",267.713963540655,2,1,35
"108",274.199714109286,2,1,36
"109",265.589149468765,2,1,37
"110",266.714289995545,2,1,38
"111",264.069330874818,2,1,39
"112",265.168433072071,2,1,40
"113",276.640590968,2,1,41
"114",270.986683475545,2,1,42
"115",281.539871368613,2,1,43
"116",266.02262475251,2,1,44
"117",268.08210487045,2,1,45
"118",274.500097753685,2,1,46
"119",268.415808225021,2,1,47
"120",262.906374435357,2,1,48
"121",276.096591335385,2,1,49
"122",261.366724443618,2,1,50
"123",267.933784656424,2,1,51
"124",268.323425318815,2,1,52
"125",273.634013621542,2,1,53
"126",276.26399364968,2,1,54
"127",269.582090722026,2,1,55
"128",268.307196251934,2,1,56
"129",267.348740181161,2,1,57
"130",266.785632735601,2,1,58
"131",272.362128075441,2,1,59
"132",267.828752523514,2,1,60
"133",259.001213306725,2,1,61
"134",270.905708895308,2,1,62
"135",267.849311060677,2,1,63
"136",262.822180326501,2,1,64
"137",270.463343902455,2,1,65
"138",265.355249332398,2,1,66
"139",255.788219939227,2,1,67
"140",269.938962951352,2,1,68
"141",264.611100793188,2,1,69
"142",269.973049067539,2,1,70
"143",267.417036497946,2,1,71
"144",264.36218022729,2,1,72
"145",916.582905406597,3,1,1
"146",692.198832009148,3,1,2
"147",606.302857905338,3,1,3
"148",551.395720902402,3,1,4
"149",526.728546634743,3,1,5
"150",510.974073393639,3,1,6
"151",483.613256736325,3,1,7
"152",473.614946605174,3,1,8
"153",465.1732807967,3,1,9
"154",451.490517803531,3,1,10
"155",438.486757079738,3,1,11
"156",443.100955277952,3,1,12
"157",440.841453711673,3,1,13
"158",445.148140569674,3,1,14
"159",430.110554022804,3,1,15
"160",429.385150691972,3,1,16
"161",421.12985335728,3,1,17
"162",423.475386841005,3,1,18
"163",416.811764221355,3,1,19
"164",415.653988490649,3,1,20
"165",413.01115687027,3,1,21
"166",399.004336527025,3,1,22
"167",425.732195741683,3,1,23
"168",408.372761477753,3,1,24
"169",411.871389621152,3,1,25
"170",409.470721949582,3,1,26
"171",394.702497985822,3,1,27
"172",405.444991976364,3,1,28
"173",403.280821331745,3,1,29
"174",396.704995736878,3,1,30
"175",395.169821729239,3,1,31
"176",395.766368946052,3,1,32
"177",399.082783967511,3,1,33
"178",390.665799166867,3,1,34
"179",394.547944071041,3,1,35
"180",396.53077862614,3,1,36
"181",391.476406780015,3,1,37
"182",408.493824509869,3,1,38
"183",393.071106555368,3,1,39
"184",379.671810144116,3,1,40
"185",390.684046610052,3,1,41
"186",388.600022628599,3,1,42
"187",388.167464120477,3,1,43
"188",390.363961873415,3,1,44
"189",380.588076863482,3,1,45
"190",383.216125559686,3,1,46
"191",395.894758299679,3,1,47
"192",386.752016169579,3,1,48
"193",381.910918139761,3,1,49
"194",383.466597004214,3,1,50
"195",382.339771487933,3,1,51
"196",351.291139015461,3,1,52
"197",359.424805271475,3,1,53
"198",346.254507842954,3,1,54
"199",331.99228887023,3,1,55
"200",299.946465292399,3,1,56
"201",281.112742880382,3,1,57
"202",259.372626556734,3,1,58
"203",244.119335078118,3,1,59
"204",223.015759305016,3,1,60
"205",209.712187771905,3,1,61
"206",213.369080921941,3,1,62
"207",200.574206741009,3,1,63
"208",208.204608900828,3,1,64
"209",207.473245627935,3,1,65
"210",201.568195707312,3,1,66
"211",216.160741771821,3,1,67
"212",203.992107598735,3,1,68
"213",206.103541345611,3,1,69
"214",218.531002032449,3,1,70
"215",201.353800267275,3,1,71
"216",201.207997145335,3,1,72
"217",678.658525552715,4,1,1
"218",618.999548626468,4,1,2
"219",589.998835497891,4,1,3
"220",565.865113351735,4,1,4
"221",558.804483667174,4,1,5
"222",543.726132481721,4,1,6
"223",538.259387593736,4,1,7
"224",539.576596801997,4,1,8
"225",531.904871728038,4,1,9
"226",533.759883947533,4,1,10
"227",529.70122747993,4,1,11
"228",519.468030509388,4,1,12
"229",511.001936927617,4,1,13
"230",510.905225498197,4,1,14
"231",515.736705190539,4,1,15
"232",501.684813330358,4,1,16
"233",511.338773869502,4,1,17
"234",509.244674747973,4,1,18
"235",497.725953571584,4,1,19
"236",506.672283689872,4,1,20
"237",502.226852880335,4,1,21
"238",489.276307029762,4,1,22
"239",490.748021540886,4,1,23
"240",502.604478589946,4,1,24
"241",489.051990714789,4,1,25
"242",487.225744574303,4,1,26
"243",491.397699878522,4,1,27
"244",487.186109635762,4,1,28
"245",491.077962914094,4,1,29
"246",492.241738046316,4,1,30
"247",484.38345768595,4,1,31
"248",487.191315107419,4,1,32
"249",490.987119568771,4,1,33
"250",484.703190604088,4,1,34
"251",482.951273495405,4,1,35
"252",479.134527909884,4,1,36
"253",484.256843047113,4,1,37
"254",488.945427992167,4,1,38
"255",483.380639853117,4,1,39
"256",477.865984887804,4,1,40
"257",475.805648893124,4,1,41
"258",477.37876715053,4,1,42
"259",472.593702204052,4,1,43
"260",479.843490912046,4,1,44
"261",471.756839700279,4,1,45
"262",474.148904975408,4,1,46
"263",469.506662611364,4,1,47
"264",474.758998363829,4,1,48
"265",470.896033666031,4,1,49
"266",468.509377500676,4,1,50
"267",476.29944152171,4,1,51
"268",462.53803897166,4,1,52
"269",469.527443569876,4,1,53
"270",471.71965116185,4,1,54
"271",469.537353882044,4,1,55
"272",464.768479841344,4,1,56
"273",463.429480093741,4,1,57
"274",453.595297631318,4,1,58
"275",453.16212783115,4,1,59
"276",450.360627014952,4,1,60
"277",427.407436739035,4,1,61
"278",429.855186780956,4,1,62
"279",415.010567894249,4,1,63
"280",408.615237033774,4,1,64
"281",390.903035512671,4,1,65
"282",374.142958080145,4,1,66
"283",367.460578663382,4,1,67
"284",348.339069701504,4,1,68
"285",334.573362038379,4,1,69
"286",318.786002120902,4,1,70
"287",313.027949486235,4,1,71
"288",298.977460368133,4,1,72
"289",973.473100003267,5,1,1
"290",788.371076003545,5,1,2
"291",703.162284931678,5,1,3
"292",663.517597477334,5,1,4
"293",627.726143402879,5,1,5
"294",617.814705955307,5,1,6
"295",595.143209533805,5,1,7
"296",582.97039134079,5,1,8
"297",574.847905693582,5,1,9
"298",570.628739348967,5,1,10
"299",567.98900403179,5,1,11
"300",563.447377403813,5,1,12
"301",561.968755999782,5,1,13
"302",549.020733500729,5,1,14
"303",552.091059928264,5,1,15
"304",536.592797442946,5,1,16
"305",543.990262944065,5,1,17
"306",539.764361370248,5,1,18
"307",541.814055173913,5,1,19
"308",533.542908274522,5,1,20
"309",532.701472751687,5,1,21
"310",531.499871831661,5,1,22
"311",528.428957423288,5,1,23
"312",526.340334757498,5,1,24
"313",528.003137538326,5,1,25
"314",517.404092315872,5,1,26
"315",516.77387436718,5,1,27
"316",515.280262114093,5,1,28
"317",524.65664050489,5,1,29
"318",521.078038880569,5,1,30
"319",520.914445817197,5,1,31
"320",514.597612264255,5,1,32
"321",516.064217688889,5,1,33
"322",517.621521778785,5,1,34
"323",513.291716901813,5,1,35
"324",507.930358797761,5,1,36
"325",509.658508610564,5,1,37
"326",509.92617520196,5,1,38
"327",505.36720359531,5,1,39
"328",510.102275325332,5,1,40
"329",507.863854634102,5,1,41
"330",497.123921264144,5,1,42
"331",510.751455894022,5,1,43
"332",495.27979734461,5,1,44
"333",507.771445208576,5,1,45
"334",501.712933319812,5,1,46
"335",499.519802201197,5,1,47
"336",493.038720009228,5,1,48
"337",489.838516310292,5,1,49
"338",480.563200853057,5,1,50
"339",472.957663600497,5,1,51
"340",461.511527247161,5,1,52
"341",461.163161986225,5,1,53
"342",459.029698330321,5,1,54
"343",445.244163003699,5,1,55
"344",438.396994977011,5,1,56
"345",425.573976846185,5,1,57
"346",409.136482828779,5,1,58
"347",396.923587250492,5,1,59
"348",395.445505355525,5,1,60
"349",381.170501062172,5,1,61
"350",370.434780427362,5,1,62
"351",364.822461519392,5,1,63
"352",359.193352369501,5,1,64
"353",351.369367083971,5,1,65
"354",337.885187627381,5,1,66
"355",334.69764416428,5,1,67
"356",339.474504267029,5,1,68
"357",337.66138401558,5,1,69
"358",324.644084204112,5,1,70
"359",317.778432592537,5,1,71
"360",324.226080315123,5,1,72
"361",978.639041659282,6,1,1
"362",874.175600539062,6,1,2
"363",816.685492619735,6,1,3
"364",787.720522342774,6,1,4
"365",759.937941233159,6,1,5
"366",738.015461337677,6,1,6
"367",737.176428599776,6,1,7
"368",705.398773203504,6,1,8
"369",698.317720326658,6,1,9
"370",688.006688599562,6,1,10
"371",677.082425390757,6,1,11
"372",671.387658477114,6,1,12
"373",671.94078616984,6,1,13
"374",651.442887276393,6,1,14
"375",649.573427500149,6,1,15
"376",639.315137721183,6,1,16
"377",639.410177969583,6,1,17
"378",631.481244013888,6,1,18
"379",630.627623945489,6,1,19
"380",632.800886511926,6,1,20
"381",617.263516897268,6,1,21
"382",622.430752717347,6,1,22
"383",614.399854859696,6,1,23
"384",618.173315025848,6,1,24
"385",604.896293779922,6,1,25
"386",598.789895088738,6,1,26
"387",594.375639920501,6,1,27
"388",602.573671407874,6,1,28
"389",598.810907420946,6,1,29
"390",597.381734211944,6,1,30
"391",594.722201551868,6,1,31
"392",591.501624942991,6,1,32
"393",583.296606565462,6,1,33
"394",578.09996087802,6,1,34
"395",574.915489841476,6,1,35
"396",570.495766228384,6,1,36
"397",580.862839979779,6,1,37
"398",562.955107143089,6,1,38
"399",571.823187571746,6,1,39
"400",576.974825175998,6,1,40
"401",570.854242612275,6,1,41
"402",565.028732444668,6,1,42
"403",567.963434802083,6,1,43
"404",563.309834543775,6,1,44
"405",570.545524415772,6,1,45
