"","S","N","rt","subject","t","is.predictable"
"1",40,5760,703.106006906127,1,1,1
"2",40,5760,629.822609548598,1,2,1
"3",40,5760,604.660018289246,1,3,1
"4",40,5760,570.066636830308,1,4,1
"5",40,5760,556.18527310036,1,5,1
"6",40,5760,545.939447171169,1,6,1
"7",40,5760,541.758170582849,1,7,1
"8",40,5760,530.970483109722,1,8,1
"9",40,5760,514.439078132426,1,9,1
"10",40,5760,519.572218712115,1,10,1
"11",40,5760,495.166426799598,1,11,1
"12",40,5760,496.609762663299,1,12,1
"13",40,5760,494.071308604721,1,13,1
"14",40,5760,498.069309144194,1,14,1
"15",40,5760,484.657260567871,1,15,1
"16",40,5760,484.340194306651,1,16,1
"17",40,5760,488.771237786751,1,17,1
"18",40,5760,488.069812734647,1,18,1
"19",40,5760,479.669344695016,1,19,1
"20",40,5760,482.245025277763,1,20,1
"21",40,5760,470.239708334817,1,21,1
"22",40,5760,467.104435046806,1,22,1
"23",40,5760,465.298665028436,1,23,1
"24",40,5760,467.106118861033,1,24,1
"25",40,5760,470.789180693214,1,25,1
"26",40,5760,462.157798483761,1,26,1
"27",40,5760,455.153468865947,1,27,1
"28",40,5760,456.272625923919,1,28,1
"29",40,5760,455.074590934886,1,29,1
"30",40,5760,454.961207425911,1,30,1
"31",40,5760,453.653601039301,1,31,1
"32",40,5760,465.948108228614,1,32,1
"33",40,5760,446.158940243987,1,33,1
"34",40,5760,457.076414825151,1,34,1
"35",40,5760,456.406682112711,1,35,1
"36",40,5760,456.080693645881,1,36,1
"37",40,5760,445.175050885426,1,37,1
"38",40,5760,451.109626419682,1,38,1
"39",40,5760,450.443156308754,1,39,1
"40",40,5760,447.400304959806,1,40,1
"41",40,5760,436.48758788413,1,41,1
"42",40,5760,438.625131879622,1,42,1
"43",40,5760,450.142945586334,1,43,1
"44",40,5760,440.952014198149,1,44,1
"45",40,5760,443.713923597903,1,45,1
"46",40,5760,443.842314428114,1,46,1
"47",40,5760,436.431758792569,1,47,1
"48",40,5760,435.753407199057,1,48,1
"49",40,5760,422.033924382068,1,49,1
"50",40,5760,443.102703011122,1,50,1
"51",40,5760,440.986479022421,1,51,1
"52",40,5760,435.440995035848,1,52,1
"53",40,5760,444.28208445016,1,53,1
"54",40,5760,441.320435863937,1,54,1
"55",40,5760,429.713037336891,1,55,1
"56",40,5760,435.432949441599,1,56,1
"57",40,5760,434.665421031316,1,57,1
"58",40,5760,436.650790278578,1,58,1
"59",40,5760,436.644144831616,1,59,1
"60",40,5760,426.229335762771,1,60,1
"61",40,5760,425.554457604332,1,61,1
"62",40,5760,416.28553818207,1,62,1
"63",40,5760,431.32993339785,1,63,1
"64",40,5760,418.96205497808,1,64,1
"65",40,5760,420.574637213953,1,65,1
"66",40,5760,424.844774342983,1,66,1
"67",40,5760,434.916055089868,1,67,1
"68",40,5760,417.706990506944,1,68,1
"69",40,5760,412.820430268649,1,69,1
"70",40,5760,425.085876994965,1,70,1
"71",40,5760,423.316613157926,1,71,1
"72",40,5760,431.426250875702,1,72,1
"73",40,5760,940.508381222183,2,1,1
"74",40,5760,824.139628616587,2,2,1
"75",40,5760,773.079039531915,2,3,1
"76",40,5760,761.057671128821,2,4,1
"77",40,5760,740.39670805999,2,5,1
